Player,PASSING ATT,PASSING CMP,PASSING YDS,PASSING TDS,PASSING INTS,RUSHING ATT,RUSHING YDS,RUSHING TDS,MISC FL,MISC FPTS,POS,RECEIVING REC,RECEIVING YDS,RECEIVING TDS,Player Chase McLaughlin TB,FG 2.1,FGA 2.0,XPT 2.9,FPTS 9.1,Player Denver Broncos,SACK 3.1,INT 0.8,FR 0.6,FF 1.0,TD 0.2,SAFETY 0.1,PA 17.2,YDS AGN 291.9,FPTS 8.3
,,,,,,,,,,,K,,,,Parker Romo ATL,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,K,,,,Harrison Mevis NYJ,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,K,,,,Jude McAtamney NYG,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,K,,,,Eddy Pineiro SF,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,K,,,,Jason Sanders MIA,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,DST,,,,,,,,,Washington Commanders,3.4,0.7,0.6,1.0,0.2,0.0,19.8,329.4,8.0
,,,,,,,,,,,DST,,,,,,,,,Los Angeles Rams,3.4,0.7,0.5,0.8,0.1,0.1,19.8,334.5,7.8
,,,,,,,,,,,DST,,,,,,,,,Pittsburgh Steelers,2.7,0.7,0.7,1.2,0.2,0.0,17.1,296.0,7.6
,,,,,,,,,,,DST,,,,,,,,,Cincinnati Bengals,3.0,1.0,0.6,1.0,0.2,0.0,20.5,339.9,7.2
,,,,,,,,,,,DST,,,,,,,,,Arizona Cardinals,2.6,0.8,0.5,0.8,0.2,0.0,18.7,313.2,7.2
,,,,,,,,,,,DST,,,,,,,,,Philadelphia Eagles,2.7,0.8,0.8,1.5,0.2,0.0,20.6,332.0,7.1
,,,,,,,,,,,DST,,,,,,,,,Chicago Bears,2.9,0.9,0.7,1.1,0.2,0.0,21.7,359.4,7.0
,,,,,,,,,,,DST,,,,,,,,,Minnesota Vikings,3.6,0.6,0.6,0.9,0.1,0.0,20.9,291.7,6.9
,,,,,,,,,,,DST,,,,,,,,,San Francisco 49ers,2.9,1.0,0.5,0.8,0.2,0.0,21.8,321.3,6.8
,,,,,,,,,,,DST,,,,,,,,,New York Giants,3.3,0.6,0.7,1.1,0.1,0.0,27.0,352.7,6.7
,,,,,,,,,,,DST,,,,,,,,,Las Vegas Raiders,3.0,0.8,0.6,0.8,0.1,0.0,23.7,337.0,6.6
,,,,,,,,,,,DST,,,,,,,,,Cleveland Browns,3.1,0.6,0.5,0.9,0.1,0.1,26.2,357.8,6.3
,,,,,,,,,,,DST,,,,,,,,,New England Patriots,2.7,0.8,0.5,0.8,0.2,0.0,20.1,324.5,6.2
,,,,,,,,,,,DST,,,,,,,,,New York Jets,2.8,0.6,0.6,1.0,0.2,0.0,20.8,317.9,6.2
,,,,,,,,,,,DST,,,,,,,,,Tampa Bay Buccaneers,2.3,0.8,0.6,0.9,0.2,0.1,22.3,347.4,6.2
,,,,,,,,,,,DST,,,,,,,,,Green Bay Packers,2.5,0.7,0.6,1.0,0.2,0.0,22.9,358.8,6.1
,,,,,,,,,,,DST,,,,,,,,,Miami Dolphins,2.6,0.7,0.5,0.8,0.2,0.0,23.7,319.1,6.1
,,,,,,,,,,,DST,,,,,,,,,Atlanta Falcons,2.6,0.8,0.5,0.8,0.1,0.0,26.3,365.7,6.1
,,,,,,,,,,,DST,,,,,,,,,Kansas City Chiefs,2.9,0.6,0.5,0.8,0.1,0.0,21.6,320.0,5.9
,,,,,,,,,,,DST,,,,,,,,,Seattle Seahawks,2.4,0.8,0.5,0.9,0.2,0.0,21.3,359.6,5.9
,,,,,,,,,,,DST,,,,,,,,,Indianapolis Colts,2.4,0.7,0.6,1.0,0.2,0.0,23.0,357.3,5.8
,,,,,,,,,,,DST,,,,,,,,,Dallas Cowboys,2.8,0.5,0.5,1.0,0.1,0.0,29.0,367.9,5.8
,,,,,,,,,,,DST,,,,,,,,,Los Angeles Chargers,2.4,0.7,0.5,0.8,0.2,0.0,24.4,349.9,5.8
,,,,,,,,,,,DST,,,,,,,,,Houston Texans,2.5,0.7,0.5,0.8,0.1,0.0,23.3,334.7,5.7
,,,,,,,,,,,DST,,,,,,,,,Jacksonville Jaguars,2.3,0.7,0.5,0.7,0.2,0.0,21.0,320.3,5.7
,,,,,,,,,,,DST,,,,,,,,,Buffalo Bills,2.0,0.5,0.7,1.3,0.2,0.0,25.3,396.3,5.4
,,,,,,,,,,,DST,,,,,,,,,Detroit Lions,1.7,0.7,0.6,0.8,0.2,0.0,24.8,347.4,5.3
,,,,,,,,,,,DST,,,,,,,,,New Orleans Saints,2.0,0.7,0.5,0.7,0.1,0.0,23.8,369.7,5.2
,,,,,,,,,,,DST,,,,,,,,,Carolina Panthers,1.9,0.7,0.5,0.8,0.1,0.0,25.2,358.4,5.1
,,,,,,,,,,,DST,,,,,,,,,Baltimore Ravens,1.8,0.7,0.4,0.7,0.1,0.0,25.6,346.2,4.8
,,,,,,,,,,,DST,,,,,,,,,Tennessee Titans,1.9,0.6,0.5,0.8,0.1,0.0,25.5,340.4,4.8
